RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName
274772,0,Northeast Dallas,Neighborhood,TX,TX,Dallas,Dallas-Fort Worth-Arlington,Dallas County
112345,1,Maryvale,Neighborhood,AZ,AZ,Phoenix,Phoenix-Mesa-Scottsdale,Maricopa County
192689,2,Paradise,Neighborhood,NV,NV,Las Vegas,Las Vegas-Henderson-Paradise,Clark County
270958,3,Upper West Side,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,New York County
118208,4,South Los Angeles,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County
270957,5,Upper East Side,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,New York County
192820,6,Sunrise Manor,Neighborhood,NV,NV,Las Vegas,Las Vegas-Henderson-Paradise,Clark County
192796,7,Spring Valley,Neighborhood,NV,NV,Las Vegas,Las Vegas-Henderson-Paradise,Clark County
268496,8,Southeast Los Angeles,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County
194430,9,East New York,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Kings County
112547,10,Paradise Valley,Neighborhood,AZ,AZ,Phoenix,Phoenix-Mesa-Scottsdale,Maricopa County
198687,11,Washington Heights,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,New York County
111818,12,Deer Valley,Neighborhood,AZ,AZ,Phoenix,Phoenix-Mesa-Scottsdale,Maricopa County
267955,13,North Mountain,Neighborhood,AZ,AZ,Phoenix,Phoenix-Mesa-Scottsdale,Maricopa County
272816,14,Astoria,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Queens County
273698,15,Far North,Neighborhood,TX,TX,Dallas,Dallas-Fort Worth-Arlington,Dallas County
272902,16,Bedford Stuyvesant,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Kings County
199001,17,Williamsburg,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Kings County
32059,18,Hollywood,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County
267908,19,Camelback East,Neighborhood,AZ,AZ,Phoenix,Phoenix-Mesa-Scottsdale,Maricopa County
194737,20,Flatbush,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Kings County
275473,21,Southeast Dallas,Neighborhood,TX,TX,Dallas,Dallas-Fort Worth-Arlington,Dallas County
272734,22,Alhambra,Neighborhood,AZ,AZ,Phoenix,Phoenix-Mesa-Scottsdale,Maricopa County
403222,23,Crown Heights,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Kings County
25294,24,Jamaica,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Queens County
195267,25,Harlem,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,New York County
275237,26,Roosevelt,Neighborhood,CA,CA,Fresno,Fresno,Fresno County
273566,27,East Side,Neighborhood,TX,TX,El Paso,El Paso,El Paso County
35521,28,Enterprise,Neighborhood,NV,NV,Las Vegas,Las Vegas-Henderson-Paradise,Clark County
343222,29,Williamsbridge,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Bronx County
270828,30,East Harlem,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,New York County
274742,31,North Scottsdale,Neighborhood,AZ,AZ,Scottsdale,Phoenix-Mesa-Scottsdale,Maricopa County
267971,32,South Mountain,Neighborhood,AZ,AZ,Phoenix,Phoenix-Mesa-Scottsdale,Maricopa County
273565,33,East San Jose,Neighborhood,CA,CA,San Jose,San Jose-Sunnyvale-Santa Clara,Santa Clara County
193587,34,Bushwick,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Kings County
194379,35,East Flatbush,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Kings County
275456,36,South Side,Neighborhood,TX,TX,Corpus Christi,Corpus Christi,Nueces County
28380,37,Alief,Neighborhood,TX,TX,Houston,Houston-The Woodlands-Sugar Land,Harris County
10957,38,Corona,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Queens County
273555,39,East Memphis-Colonial-Yorkshire,Neighborhood,TN,TN,Memphis,Memphis,Shelby County
270945,40,Sunset Park,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Kings County
270817,41,Concourse,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Bronx County
273088,42,Bullard,Neighborhood,CA,CA,Fresno,Fresno,Fresno County
275501,43,Southwest Dallas,Neighborhood,TX,TX,Dallas,Dallas-Fort Worth-Arlington,Dallas County
193406,44,Borough Park,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Kings County
193285,45,Bensonhurst,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Kings County
276246,46,Central City,Neighborhood,TX,TX,Corpus Christi,Corpus Christi,Nueces County
276652,47,West San Jose,Neighborhood,CA,CA,San Jose,San Jose-Sunnyvale-Santa Clara,Santa Clara County
403223,48,Elmhurst,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Queens County
273527,49,East,Neighborhood,TX,TX,Arlington,Dallas-Fort Worth-Arlington,Tarrant County
275454,50,South Scottsdale,Neighborhood,AZ,AZ,Scottsdale,Phoenix-Mesa-Scottsdale,Maricopa County
276215,51,Blossom Valley,Neighborhood,CA,CA,San Jose,San Jose-Sunnyvale-Santa Clara,Santa Clara County
276476,52,North Long Beach,Neighborhood,CA,CA,Long Beach,Los Angeles-Long Beach-Anaheim,Los Angeles County
269592,53,Logan Square,Neighborhood,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County
403131,54,Sheepshead Bay,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Kings County
343217,55,South Bronx,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Bronx County
343205,56,Soundview,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Bronx County
118987,57,Willow Glen,Neighborhood,CA,CA,San Jose,San Jose-Sunnyvale-Santa Clara,Santa Clara County
275467,58,Southeast,Neighborhood,TX,TX,Arlington,Dallas-Fort Worth-Arlington,Tarrant County
193640,59,Canarsie,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Kings County
276659,60,White Haven-Coro Lake,Neighborhood,TN,TN,Memphis,Memphis,Shelby County
273480,61,Downtown,Neighborhood,CA,CA,San Jose,San Jose-Sunnyvale-Santa Clara,Santa Clara County
274514,62,Mid City,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County
271511,63,Northwest,Neighborhood,TX,TX,El Paso,El Paso,El Paso County
41466,64,Van Nuys,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County
275090,65,Preston Hollow,Neighborhood,TX,TX,Dallas,Dallas-Fort Worth-Arlington,Dallas County
270875,66,Lower East Side,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,New York County
273652,67,Estrella,Neighborhood,AZ,AZ,Phoenix,Phoenix-Mesa-Scottsdale,Maricopa County
41131,68,Sun Valley,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County
33183,69,Northridge,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County
18131,70,Flushing,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Queens County
15046,71,Alafaya,Neighborhood,FL,FL,Orlando,Orlando-Kissimmee-Sanford,Orange County
27182,72,South Ozone Park,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Queens County
267900,73,Ahwatukee Foothills,Neighborhood,AZ,AZ,Phoenix,Phoenix-Mesa-Scottsdale,Maricopa County
